Question	Answer	Confidence Score	Evidence
1. Is it only an API platform or do we need to build the front end platform?	Fuze operates an API-first architecture that enables banks to retain full control over the product UI and end-to-end customer journey. Fuze provides the backend infrastructure via REST APIs and WebSockets, while the bank owns and builds the front-end. Fuze provides advisory support on UX and journey design but ultimate ownership of the front-end remains with the bank.	95	[Questions_for_bidder > Row 11 > "How customizable is the product UX"]
2. Would Mashreq host the entire solution or can Fuze host it?	The solution is hosted on Fuze's AWS Public Cloud infrastructure (me-central-1 region in UAE). Fuze can provide a segregated tenant on AWS PrivateLink if required. Mashreq does not need to host the solution; Fuze hosts it within a compliant UAE-based cloud environment.	92	[rbgplatformquestionnaire > Networking & Connectivity > Row 18]
3. Who will develop the front end (Mashreq or Fuze)?	Mashreq will develop the front end. Fuze supports an API-first integration model and does not recommend SDK integration. The bank retains full control over the product UI and customer journey. Fuze provides REST APIs and WebSockets for integration, along with comprehensive API documentation.	95	[Questions_for_bidder > Row 34 > Integration Model]; [rbgplatformquestionnaire > Row 6 > SDK]
4. Community of users and availability of resources for the platform?	Fuze has active bank partnerships with Wio Bank, ADCB, and Ruya Bank in the UAE. One in four new Wio users sign up for digital asset investment through Fuze. Volume on Wio platform alone exceeds all local exchanges combined. Two additional large-scale fintechs/financial institutions are scheduled for go-live in Q2-Q3 2025.	90	[Questions_for_bidder > Row 53-54 > References]; [TPRM Due Diligence > Row 2]
5. Need clarification on what VDI means in the RBGP Platform	Insufficient information in provided documents. VDI (Virtual Desktop Infrastructure) is not explicitly referenced in the knowledge base documents.	20	[No direct reference found - requires clarification from Mashreq]
6. Please provide need clarification if this FE build or BE build?	Fuze provides backend (BE) infrastructure only. The front-end (FE) build is owned and developed by the bank. Fuze's API-first architecture provides all backend services including trading, custody, compliance, and order execution via REST APIs and WebSockets.	95	[Questions_for_bidder > Row 34]; [rbgplatformquestionnaire > Row 3-6]
7. Does Mashreq have a dedicated FE team to implement?	This is a question for Mashreq to confirm internally. Fuze's model requires the bank to have a front-end development team to integrate with Fuze's APIs.	0	[N/A - Question for Mashreq to answer]
8. The analytics and customer engagement would be owned by whom?	Analytics and customer engagement are owned by the bank. Fuze tracks KPIs including user activation rates, activation to first order, order success rates, user retention and churn, and AUM. Fuze's APIs allow the bank to monitor and track these KPIs on their own data management system.	88	[Questions_for_bidder > Row 18 > KPIs]
9. What SSO does Mashreq use?	This is a question for Mashreq to confirm internally. Fuze supports OAuth-based authentication and API key-based access. Fuze implements JWT validation with configurable token lifetimes and refresh flows for secure session continuity.	70	[rbgplatformquestionnaire > Row 11-12 > Auth methods]; Partial - Mashreq must confirm their SSO
10. What is Mashreq's CI/CD pipeline?	This is a question for Mashreq to confirm internally. Fuze maintains its own daily CI/CD release schedule with rolling deployments for zero-downtime updates. All releases are logged in GitHub version control.	0	[N/A - Question for Mashreq to answer]
