 ,Questions,Reference Document,Ila Bahrain,Ila Jordan,,,,,,,,,,,,,,,,,,,,,,,
Product Scope & Functional Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"What asset classes do you currently support natively (e.g. equities, ETFs, mutual funds, crypto, commodities, precious metals, derivatives)?",Presentation,"We currently support crypto as an asset class, with plans to add other asset classes in future",,,,,,,,,,,,,,,,,,,,,,,,
,Which products are live today vs. on your roadmap (12–24 months)?,," Live Today Sharia-compliant trading flow — the only company globally live with Sharia compliance approved by HSE (CBUAE) Limit orders Multiple portfolios per user Closed-loop model (recommended) — customers cannot bring in external crypto Open-loop model — once the bank is comfortable with the risk framework, we can transition to this  Next 12 Months Staking Tokenized Commodities (Gold, Silver) Collateralization workflows Tokenized assets — RWAs (Real-World Assets) Cohort-based pricing  Next 24 Months Vaults — access to yield instruments via stablecoins Derivatives and strategy-based trading Tokenized assets — Stocks Crypto cards  ",,,,,,,,,,,,,,,,,,,,,,,,
,Can the platform support multi-asset investing within a single customer journey?,,Not at the moment,,,,,,,,,,,,,,,,,,,,,,,,
,Do you support fractional investing? Minimum ticket sizes?,,"Fuze’s trading infrastructure is natively built to support fractional trading, as crypto assets are inherently divisible. This allows for high flexibility in trade sizes, including micro-transactions for example, purchasing fractions of tokens equivalent.",,,,,,,,,,,,,,,,,,,,,,,,
,"How do you handle corporate actions, dividends, splits, rights issues?",,NA,,,,,,,,,,,,,,,,,,,,,,,,
,Is portfolio aggregation across asset classes supported out of the box?,,NA,,,,,,,,,,,,,,,,,,,,,,,,
,"Describe your order types (market, limit, stop-loss, recurring, thematic).",,"We offer market, limit, and stop-loss order types, and for recurring orders for crypto for all tokens. We also provide modular APIs that allow flexible configuration and control that allow for thematic investing to be offered",,,,,,,,,,,,,,,,,,,,,,,,
,"Can we define custom product wrappers (e.g. gold accounts, Shariah-compliant portfolios, bundles)?",,"We support the creation of theme-based portfolios that allow banks to curate digital asset exposure around specific narratives or customer preferences. Examples include AI-focused tokens, blue-chip digital assets, and real-world asset (RWA)–linked tokens, enabling simplified investment discovery and portfolio construction.  For more sophisticated segments, we enable structured digital asset products for qualified investors, designed to meet suitability, risk, and regulatory requirements while offering differentiated risk–return profiles.  We also support Shariah-compliant Bitcoin trading, allowing Islamic banking customers to participate in digital assets within an approved Shariah framework.  The platform supports both open-loop and closed-loop models.  In an open-loop setup, customers can transfer digital assets in and out of the platform, enabling broader ecosystem participation.  In a closed-loop setup, digital assets remain within the bank’s controlled environment, offering enhanced oversight, governance, and risk management.",,,,,,,,,,,,,,,,,,,,,,,,
,How customizable is the product UX without core changes on your side?,,"Fuze operates an API-first architecture that enables banks to retain full control over the product UI and end-to-end customer journey.   Fuze provides advisory support on UX and journey design, drawing on implementation experience and best practices across similar deployments; however, ultimate ownership and decision-making on UX and customer experience remain with the bank.",,,,,,,,,,,,,,,,,,,,,,,,
