RISK DOMAIN,DUE DILIGENCE OF SERVICE PROVIDER   ,GUIDANCE ON EVIDENCE REQUEST BUT NOT LIMITED TO,SERVICE PROVIDER RESPONSE,SERVICE PROVIDER COMMENTS,REVIEW BY TPRM ON COMMENTS/ RESPONSES PROVIDED BY SERVICE PROVIDER ,CONTROL EFFECTIVENESS LEVEL ,EFFECTIVENESS RATING,DOMAIN SCORE,DOMAIN RATING,,,,,,,,,,,,,,,,,Yes
COMPLIANCE,Has your company provided similar services to other clients?,Please share detailed case studies highlighting similar projects with client identitites anonymized. Provide examples of completed projects relevant to our needs. Provide examples of timelines and methodologies used in similar engagements. Provide proof of financial stability and evidence of insurance coverage and compliance with legal requirements. ,Yes,"Fuze currently powers digital asset investment infrastructure for two major UAE banks. Our platform supports KYC reliance for seamless onboarding, real-time price feeds, best execution protocols to ensure optimal pricing, and secure custody solutions. Within the first six months of launch, one in every four new users onboarded opted for digital asset investment, contributing to significant transaction volumes and client engagement.  We have also deployed a closed-loop investment infrastructure in partnership with Wio Bank and Wio Securities. In parallel, other financial institutions are implementing hybrid models—ranging from partially closed-loop to fully open-loop ecosystems—integrating features such as payment rails, card issuance, and digital asset flows.  Currently, two additional large-scale fintechs/financial institutions in the UAE are undergoing integration with our infrastructure. Their go-live is scheduled for Q2–Q3 2025.  Methodology and Implementation Timelines  Our approach is API-first, enabling seamless integration into a bank’s core systems. Each engagement is tailored to the partner's infrastructure and regulatory requirements, but typical implementation follows this phased approach:  Phase 1: Discovery & Technical Scoping (2–3 weeks)  Phase 2: API Integration & UAT (4–6 weeks)  Phase 3: Compliance Testing & Final Configuration (2 weeks)  Phase 4: Go-Live & Post-Launch Support (1–2 weeks)  Financial Stability and Insurance Coverage  Fuze maintains comprehensive insurance coverage through Marsh Insurance, including:  Professional Indemnity Insurance  Directors & Officers (D&O) Insurance  Crime Insurance  Cybersecurity Insurance  Given the nature of our business, our technology platform is the operational core. All transactions are logged, reconciliations are performed within the internal ledger system, and critical controls are implemented to ensure auditability and protection. As a result, we maintain enhanced crime and cyber risk coverage specifically tailored to our operational exposure.  We remain fully compliant with all applicable regulatory and legal requirements in the jurisdictions in which we operate.  Fuze has done over a billion USD in FY 2024 and achieved EBITDA profitability. With the growth trajectory Fuze will grow by 5-8x maintaining its profitability. The parent entity continues to support its subsidiaries Fuze raised $14M in its pre-seed round in 2023 and still has a healthy balance sheet that can support operations for the next 2 years.",,,0,0,Totally Ineffective,,,,,,,,,,,,,,,,,No
,Has your company been compliant with all applicable legal and regulatory requirements over the past years?,Please share your company Third-party risk management policy  Please share your company procedure to manage risk associated with your subcontractors. Please share internal or external audit report focusing on compliance with legal and regulatory changes.,Yes,"Yes, Fuze remains compliant with all applicable legal and regulatory requirements since being licensed and regulated by the Virtual Assets Regulatory Authority (""VARA"") in Dubai.  As a regulated Virtual Asset Service Provider, we have established a comprehensive compliance framework aligned with VARA’s Rulebooks, FATF recommendations, and broader local and international regulatory expectations.  Fuze has a comprehensive Outsourcing Policy in place, which effectively covers Third-Party Risk Management to manage and mitigate risks associated with subcontractors and vendors throughout the lifecycle of the engagement. The policy addresses critical areas of risk, including data security, intellectual property protection, and regulatory compliance, with appropriate safeguards and controls in place.   The third party / vendor onboarding process is designed to mitigate risks before engagement begins, including reputational, operational, legal, and financial risks. This involves conducting thorough due diligence and risk assessments, and incorporating contractual safeguards such as dispute resolution mechanisms, termination rights, and compliance requirements. It also ensures that vendors are aligned with our internal risk appetite and meet the expectations of relevant stakeholders.  Once a third party / vendor is onboarded, ongoing monitoring is critical to ensure continued compliance and performance. We conduct regular evaluations against agreed service-level agreements (SLAs) and key performance indicators (KPIs), and perform periodic risk reviews to assess any changes in the vendor’s risk profile. This process helps ensure that vendors are able to evolve alongside our business and continue to meet our operational and strategic needs.  The framework is led by the Head of Risk, who reports directly to the Board and administratively to the CEO.   The Risk Function will produce regular risk reports for senior management and the Board. Additionally, risk oversight is conducted by the Audit, Risk, and Compliance Committee (ARCC) which ensures independent scrutiny of all risk activities and escalates findings to the Board.  Fuze operates a Three Lines of Defence model:  - First Line: Risk ownership by business and operational units - Second Line: Independent risk oversight by the Risk Function - Third Line: Independent controls testing and assurance provided by Internal Audit  Audit and Regulatory Compliance Internal audits are conducted periodically to assess the effectiveness of our risk controls, compliance with legal and regulatory obligations, and operational resilience. These audits are aligned with industry standards and overseen by the ARCC.  We are happy to share a summary of our most recent internal audit reports under NDA, focusing on compliance with applicable laws and regulatory changes.",,,0,,,,,,,,,,,,,,,,,,,N/A
,Has your company ever faced any significant legal or compliance issues?,"If yes, please provide detailed description of issues including jurisdiction where the issues occurred. ",No,"Fuze has maintained a strong track record of regulatory compliance and operational integrity since inception. The company has not been subject to any legal or compliance issues, including:  - Regulatory scrutiny or investigations - Financial misstatements or reporting irregularities - Sanctions breaches - Preventive or non-preventive settlements with competent authorities  Fuze remains fully compliant with all applicable legal, regulatory, and reporting obligations across its jurisdictions of operation. Our governance framework and internal controls are designed to ensure continued alignment with evolving regulatory standards.",,,0,,,,,,,,,,,,,,,,,,,
,Does your company have a documented internal control environment and risk management practice,Please share your company risk management procedures and process.,Yes,"Yes, Fuze maintains a documented internal control environment and a formal risk management framework, both of which are aligned with regulatory expectations set by our regulator(Dubai’s Virtual Assets Regulatory Authority (VARA)) and global best practices.  Our internal control environment is structured to ensure the integrity of operations, compliance with applicable legal and regulatory requirements, and effective mitigation of key risks across the business.   These controls are embedded within our day-to-day processes and are subject to periodic review and enhancement based on risk assessments, audit findings, and regulatory developments.  Our risk management practices is led by our dedicated Head of Risk, and are governed by a documented Risk Management Policy and Framework, which defines our approach to: - Identifying, assessing, and mitigating operational, compliance, financial, technology, and third-party risks - Assigning clear ownership of risks and controls across the first and second lines of defence - Maintaining a risk register and conducting periodic risk reviews - Ensuring escalation protocols are in place for material risks or control breaches In addition, our internal control environment includes: - Defined roles and responsibilities with appropriate segregation of duties - Policies and procedures across key risk areas (e.g., AML/CFT, cybersecurity, business continuity) - Regular compliance monitoring and internal testing programs (as part of our compliance monitoring programme) - Internal audits to validate control effectiveness",,,0,,,,,,,,,,,,,,,,,,,
,Does your company receive any performance related incentives such as commission payments from the organization?,,No,"Fuze does not receive any performance-related incentives, including commission payments, from the organizations it serves. Our pricing and commercial arrangements are transparent, fixed, and agreed upon in advance with each client. This approach ensures alignment of interests, eliminates conflicts of interest, and reinforces our commitment to integrity and objectivity in all engagements.",,,0,,,,,,,,,,,,,,,,,,,
,Do you or your suppliers operate in any countries that are considered to be at higher risk for corruption and bribery?,Please share the details of countries where your suppliers operate,No,"No, Fuze does not not operate in countries that are considered high-risk for corruption and bribery. We maintain strict due diligence procedures as part of our third-party risk management framework to ensure all counterparties comply with applicable anti-bribery, anti-corruption, and ethical conduct standards. Our operations are governed by a zero-tolerance policy toward corruption in any form.",,,0,,,,,,,,,,,,,,,,,,,
,Are employees required to formally acknowledge the expected code of conduct including those related to anti-fraud and corruption?,,Yes,"Yes, all Fuze employees are required to formally acknowledge the company’s Code of Conduct, which includes clear guidelines on anti-fraud, anti-bribery, and anti-corruption practices. This acknowledgement is part of the onboarding process and is revalidated periodically through mandatory compliance training and attestations.  Our Code of Conduct is reinforced by internal policies, regular awareness sessions, and a whistleblower mechanism, ensuring that employees understand and adhere to the highest standards of ethical and professional behavior at all times.",,,0,,,,,,,,,,,,,,,,,,,
,"Do you have any engagement with Public Officials and/or Government-Owned Entities? If Yes, please describe this engagement.",Plesae provide the engagment details,No,"Fuze does not have any direct engagements with Public Officials or Government-Owned Entities. Our operations are focused on serving regulated financial institutions, licensed fintechs, and private sector entities. We maintain strict adherence to all applicable laws and ethical standards regarding interactions with public sector bodies.",,,0,,,,,,,,,,,,,,,,,,,
,"Is any of the Owners/Directors/Senior Employees/Major Shareholder of the third-party, an employee of the Mashreq Bank PSC or related to an employee of Mashreq Bank PSC?","Please provide names and phone numbers of such mashreq employees, Department, Location and the details of relationship you have with them",No,"No, none of the Owners, Directors, Senior Employees, or Major Shareholders of Fuze are employees of Mashreq Bank PSC or related to any employee of Mashreq Bank PSC. Fuze maintains a strict conflict of interest policy and ensures full transparency in all governance and ownership matters.",,,0,,,,,,,,,,,,,,,,,,,
,"Does your company review and ensure compliance with changes in legal and regulatory requirements, especially outside of UAE?","Please share documented policies and procedures outlining the process for reviewing and ensuring compliance with legal and regulatory chagnes, both domestically and internationally.",Yes,"Yes, Fuze actively reviews and ensures compliance with changes in legal and regulatory requirements, both within the UAE and internationally.   We have a dedicated compliance function that closely monitors regulatory developments across all jurisdictions where we operate. This includes: - Regularly reviewing updates from relevant regulatory bodies - Engaging with legal advisors and external consultants to ensure alignment with evolving laws - Conducting internal audits and assessments to ensure compliance across all operational areas - Updating internal policies and procedures in response to new regulatory requirements  Our approach ensures that Fuze remains fully compliant with all applicable legal frameworks, including those outside of the UAE, and helps mitigate any risks associated with non-compliance.  Please refer to the AML, CTF, CPF Policy as well as the Compliance Management System Policy for further details.",,,0,,,,,,,,,,,,,,,,,,,
,Events that may limit the service provider’s ability to provide services outside of UAE,Please share risk assessments outlining risks and impact on service delivery. Please share copy of Business continuity plan detailing strategies for mitigating disruptions to service delivery.,No,Document has been attached,,,0,,,,,,,,,,,,,,,,,,,
,Any additional factor that may need to be made part of risk assessment review (Applicable for outside UAE outsourcing),,No,,,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMATION SECURITY,"Does your organization maintain, and implement policies and procedures to protect personal information?",Please share the policies related to protection of personal information,Yes,"At Fuze, we are committed to safeguarding the personal information of our clients and their customers. We implement a comprehensive, multi-layered security approach to ensure the confidentiality, integrity, and availability of sensitive data. Key measures include:  End-to-End Encryption: All data transmitted between our platform and users is secured with industry-standard encryption protocols (e.g., TLS/SSL), ensuring that sensitive information remains protected from unauthorized access during transmission.  Data-at-Rest Encryption: Fuze encrypts all stored data, including transaction records and personal information, using robust encryption algorithms to prevent unauthorized access to sensitive data.  Multi-Factor Authentication (MFA): We enforce MFA for all users accessing our platform, adding an extra layer of security beyond passwords to help prevent unauthorized access, even if user credentials are compromised.  Role-Based Access Control (RBAC): Fuze implements RBAC, limiting access to sensitive information and functionalities based on defined user roles. This ensures that only authorized personnel have access to critical data and systems.  Intrusion Detection and Prevention Systems (IDS/IPS): Our systems continuously monitor network traffic to detect and prevent unauthorized access or malicious activities in real time.  Security Information and Event Management (SIEM): Fuze utilizes SIEM tools across all hosts, cloud services, and critical infrastructure, ensuring continuous monitoring, profiling, and analysis of events and logs generated by our systems.  Regular Vulnerability Assessments and Penetration Testing (VAPT): We conduct VAPT exercises every six months to identify and address security vulnerabilities proactively. This is complemented by routine security audits to ensure compliance with industry standards.  Secure Wallet Management: Fuze employs a multi-custody solution for managing digital assets, utilizing both hot and cold wallets. Cold wallets, disconnected from the internet, offer an additional layer of protection against online threats.  Compliance with Industry Standards: Fuze adheres to international security standards, including SOC 2 Type II, ISO 27001, and NESA, ensuring our data protection practices align with the highest industry benchmarks.  Smart Contract Security: All smart contracts deployed on our platform undergo rigorous security audits and reviews to identify and mitigate potential vulnerabilities before deployment.  Continuous Monitoring and Incident Response: Our dedicated security team constantly monitors system activities for suspicious behavior and potential threats. In the event of a security incident, our team is prepared to respond promptly to minimize any potential impact.  User Privacy Protection: Fuze ensures compliance with global data privacy regulations, including GDPR and UAE data protection laws, by limiting access to personal and financial data to authorized personnel only and safeguarding it in accordance with these regulations.  These security measures, backed by a strong governance framework, protect both our clients and their customers from evolving digital security threats.",,,0,0,Totally Ineffective,,,,,,,,,,,,,,,,,
,"Is your organization certified under any security and data privacy regulations such as ISO27001, PCI-DSS, GDPR, SOC 1, SOC 2 etc",Please mention the certificate / assurance in place,Yes,"Yes, Fuze is certified under the following security and data privacy regulations:  NESA (National Electronic Security Authority)  SOC 2 Type II  ISO 27001",,,0,,,,,,,,,,,,,,,,,,,
,"Does your organization receive and maintain a formal acknowledgement (in writing) from workers, contractors, and vendors stating that they have read the privacy and information security policies? ","Please share the copy of Non Disclosure Agreesment to be signed by workers, contractors and vendors",Yes,"Yes, Fuze requires all workers, contractors, and vendors to provide formal written acknowledgment that they have read, understood, and agreed to our privacy and information security policies. This is part of our standard onboarding process and is reinforced through regular training and policy updates. By maintaining these acknowledgments, we ensure that all parties involved are fully aware of their responsibilities regarding data protection and security.",,,0,,,,,,,,,,,,,,,,,,,
