Inherent Risk Rating,Control effectivness levels in Risk,Residual Risk Rating,,,,,,,,,,,,,,,,,,,Control effectiveness,Guide,Control Effectiveness Rating,Calculation value,Effectiveness range ,,,,,High
High,Totally Ineffective,#N/A,,,,,,,,,,,,,,,,,,,Fully Effective,Controls are well designed for the risk and address the root causes. Management believes they are always effective and reliable.,3.0,0.95,90%–100% ,,,,,Medium High
,,,,,,,,,,,,,,,,,,,,,Largely Effective,Most controls are in place and effective. Some more work to be done to improve effectiveness of the control.,2.0,0.8,70%–90%,,,,,Medium Low
,,,,,,,,,,,,,,,,,,,,,Partially Effective,Some of the controls do not seem correctly designed in that they do not treat root causes. Those that are correctly designed are operating effectively.,1.0,0.6,50%–70%,,,,,Low
,,,,,,,,,,,,,,,,,,,,,Largely Ineffective ,"Significant control gaps. Either controls do not treat root causes, or they do not operate effectively.",0.0,0.4,30%–50%,,,,,Very Low
,,,,,,,,,,,,,,,,,,,,,Totally Ineffective ,Control is not applied or is applied incorrectly,0.0,0.15,0%–30%,,,,,
,,,,,,,,,,,,,,,,,,,,,Not Assessed ,"Control exists, but the effectiveness of the control has not been assessed by the control owner ",NA,NA,NA,,,,,
,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,NA,NA,NA,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
